ip,d1,d2,d3,d4,d5,d6,screenWidth,screenHeight,innerWidth,innerHeight,colorDepth,pixelDepth,instructionsTime,blockID,pause,trialID,RT,response,wascorrect,tPresent,tSize,tColor,tOrientation,tLocation
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,0,590,right,false,true,1,#D73138,90,s7,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,1,358,left,true,true,1,#D73138,90,s2,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,2,484,right,true,false,1,#D73138,90,s2,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,3,508,left,true,true,1,#D73138,90,s18,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,4,458,right,true,false,1,#D73138,90,s18,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,5,547,left,true,true,1,#D73138,90,s17,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,6,823,left,false,false,1,#D73138,90,s17,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,7,422,right,true,false,1,#D73138,90,s17,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,8,436,right,true,false,1,#D73138,90,s17,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,9,484,right,true,false,1,#D73138,90,s17,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,10,672,left,true,true,1,#0084BA,0,s9,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,11,647,right,true,false,1,#0084BA,0,s9,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,12,560,right,true,false,1,#0084BA,0,s9,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,13,503,right,true,false,1,#0084BA,0,s9,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,14,510,right,true,false,1,#0084BA,0,s9,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,15,422,right,true,false,1,#0084BA,0,s9,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,16,447,right,true,false,1,#0084BA,0,s9,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,17,488,right,true,false,1,#0084BA,0,s9,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,18,698,left,true,true,1,#0084BA,0,s9,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,19,498,left,true,true,1,#0084BA,0,s8,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,20,472,right,true,false,1,#0084BA,0,s8,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,21,428,right,true,false,1,#0084BA,0,s8,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,22,411,right,true,false,1,#0084BA,0,s8,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,23,510,left,true,true,1,#0084BA,0,s5,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,1,0,24,473,right,true,false,1,#0084BA,0,s5,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,25,517,right,true,false,1,#0084BA,0,s5,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,26,496,left,true,true,1,#0084BA,0,s13,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,27,571,right,true,false,1,#0084BA,0,s13,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,28,459,right,true,false,1,#0084BA,0,s13,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,29,502,left,true,true,1,#0084BA,0,s10,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,30,622,left,true,true,1,#0084BA,0,s7,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,31,784,left,true,true,1,#D73138,90,s25,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,32,608,right,true,false,1,#D73138,90,s25,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,33,677,right,true,false,1,#D73138,90,s25,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,34,572,right,true,false,1,#D73138,90,s25,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,35,396,left,true,true,1,#0084BA,0,s1,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,36,547,left,true,true,1,#D73138,90,s1,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,37,651,right,false,true,1,#0084BA,0,s8,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,38,608,right,true,false,1,#0084BA,0,s8,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,39,471,right,true,false,1,#0084BA,0,s8,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,40,547,right,true,false,1,#0084BA,0,s8,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,41,477,left,true,true,1,#0084BA,0,s5,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,42,446,right,true,false,1,#0084BA,0,s5,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,43,396,left,true,true,1,#D73138,90,s24,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,44,435,left,true,true,1,#D73138,90,s21,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,45,465,left,true,true,1,#D73138,90,s2,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,46,495,left,true,true,1,#D73138,90,s4,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,47,458,left,true,true,1,#D73138,90,s3,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,48,821,left,true,true,1,#0084BA,0,s2,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,2,2,49,546,right,true,false,1,#0084BA,0,s2,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,50,620,right,true,false,1,#0084BA,0,s2,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,51,496,left,true,true,1,#D73138,90,s14,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,52,508,right,true,false,1,#D73138,90,s14,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,53,472,right,true,false,1,#D73138,90,s14,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,54,463,left,false,false,1,#D73138,90,s14,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,55,484,left,true,true,1,#0084BA,0,s13,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,56,671,left,true,true,1,#D73138,90,s6,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,57,685,left,false,false,1,#D73138,90,s6,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,58,596,left,true,true,1,#0084BA,0,s25,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,59,746,left,false,false,1,#0084BA,0,s25,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,60,459,left,false,false,1,#0084BA,0,s25,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,61,570,left,true,true,1,#D73138,90,s7,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,62,476,right,true,false,1,#D73138,90,s7,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,63,534,right,false,true,1,#D73138,90,s2,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,64,485,left,true,true,1,#0084BA,0,s13,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,65,2196,right,true,false,1,#0084BA,0,s13,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,66,697,right,true,false,1,#0084BA,0,s13,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,67,634,left,true,true,1,#0084BA,0,s20,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,3,3,68,721,right,true,false,1,#0084BA,0,s20,R
